Borough,Month,Value
Islington,2014-10,2302
Islington,2014-11,2312
Islington,2014-12,2253
Islington,2015-01,2198
Islington,2015-02,2181
Islington,2015-03,2473
Islington,2015-04,2385
Islington,2015-05,2494
Islington,2015-06,2404
Islington,2015-07,2397
Islington,2015-08,2213
Islington,2015-09,2192
Islington,2015-10,2399
Islington,2015-11,2400
Islington,2015-12,2427
Islington,2016-01,2420
Islington,2016-02,2232
Islington,2016-03,2186
Islington,2016-04,2164
Islington,2016-05,2227
Islington,2016-06,2522
Islington,2016-07,2649
Islington,2016-08,2266
Islington,2016-09,2183
Islington,2016-10,2308
Islington,2016-11,2303
Islington,2016-12,2392
Newham,2011-01,2592
Newham,2011-02,2638
Newham,2011-03,2705
Newham,2011-04,2715
Newham,2011-05,2864
Newham,2011-06,2706
Newham,2011-07,2746
Newham,2011-08,2716
Newham,2011-09,2582
Newham,2011-10,2731
Newham,2011-11,2626
Newham,2011-12,2289
Newham,2012-01,2513
Newham,2012-02,2434
Newham,2012-03,3115
Newham,2012-04,2590
Newham,2012-05,2782
Newham,2012-06,2692
Newham,2012-07,2875
Newham,2012-08,2904
Newham,2012-09,2673
Newham,2012-10,2842
Newham,2012-11,2715
Newham,2012-12,2604
Newham,2013-01,2616
Newham,2013-02,2155
Newham,2013-03,2262
Newham,2013-04,2328
Newham,2013-05,2231
Newham,2013-06,2317
Newham,2013-07,2671
Newham,2013-08,2386
Newham,2013-09,2130
Newham,2013-10,2609
Newham,2013-11,2558
Newham,2013-12,2336
Newham,2014-01,2398
Newham,2014-02,2372
Newham,2014-03,2615
Newham,2014-04,2314
Newham,2014-05,2427
Newham,2014-06,2317
Newham,2014-07,2432
Newham,2014-08,2239
Newham,2014-09,2366
Newham,2014-10,2428
Newham,2014-11,2488
Newham,2014-12,2430
Newham,2015-01,2561
Newham,2015-02,2330
Newham,2015-03,2656
Newham,2015-04,2240
Newham,2015-05,2426
Newham,2015-06,2596
Newham,2015-07,2718
Newham,2015-08,2454
