Month,Year,Period,Home,Away,Result,Stadium,Borough
3,2015,13,QPR,Arsenal,A,Loftus Road,Hammersmith and Fulham
3,2015,13,Tottenham,Swansea,H,White Hart Lane,Haringey
3,2015,13,West Ham,Chelsea,A,Boleyn Ground,Newham
3,2015,13,QPR,Tottenham,A,Loftus Road,Hammersmith and Fulham
3,2015,13,Arsenal,West Ham,H,Emirates Stadium,Islington
3,2015,13,Crystal Palace,QPR,H,Selhurst Park,Croydon
3,2015,13,Chelsea,Southampton,D,Stamford Bridge,Hammersmith and Fulham
3,2015,13,Tottenham,Leicester,H,White Hart Lane,Haringey
3,2015,13,West Ham,Sunderland,H,Boleyn Ground,Newham
3,2015,13,QPR,Everton,A,Loftus Road,Hammersmith and Fulham
4,2015,1,Arsenal,Liverpool,H,Emirates Stadium,Islington
4,2015,1,Chelsea,Stoke,H,Stamford Bridge,Hammersmith and Fulham
4,2015,1,Crystal Palace,Man City,H,Selhurst Park,Croydon
4,2015,1,Tottenham,Aston Villa,A,White Hart Lane,Haringey
4,2015,1,West Ham,Stoke,D,Boleyn Ground,Newham
4,2015,1,QPR,Chelsea,A,Loftus Road,Hammersmith and Fulham
4,2015,1,Chelsea,Man United,H,Stamford Bridge,Hammersmith and Fulham
4,2015,1,Crystal Palace,West Brom,A,Selhurst Park,Croydon
4,2015,1,Crystal Palace,Hull,A,Selhurst Park,Croydon
4,2015,1,QPR,West Ham,D,Loftus Road,Hammersmith and Fulham
4,2015,1,Arsenal,Chelsea,D,Emirates Stadium,Islington
5,2015,1,West Ham,Burnley,H,Boleyn Ground,Newham
5,2015,2,Chelsea,Crystal Palace,H,Stamford Bridge,Hammersmith and Fulham
5,2015,2,Tottenham,Man City,A,White Hart Lane,Haringey
5,2015,2,Crystal Palace,Man United,A,Selhurst Park,Croydon
5,2015,2,Chelsea,Liverpool,D,Stamford Bridge,Hammersmith and Fulham
5,2015,2,Arsenal,Swansea,A,Emirates Stadium,Islington
5,2015,2,QPR,Newcastle,H,Loftus Road,Hammersmith and Fulham
5,2015,2,Tottenham,Hull,H,White Hart Lane,Haringey
5,2015,2,West Ham,Everton,A,Boleyn Ground,Newham
5,2015,2,Arsenal,Sunderland,D,Emirates Stadium,Islington
5,2015,2,Arsenal,West Brom,H,Emirates Stadium,Islington
5,2015,2,Chelsea,Sunderland,H,Stamford Bridge,Hammersmith and Fulham
5,2015,2,Crystal Palace,Swansea,H,Selhurst Park,Croydon
8,2015,5,Chelsea,Swansea,D,Stamford Bridge,Hammersmith and Fulham
8,2015,5,Arsenal,West Ham,A,Emirates Stadium,Islington
8,2015,5,Tottenham,Stoke,D,White Hart Lane,Haringey
8,2015,5,West Ham,Leicester,A,Boleyn Ground,Newham
8,2015,5,Crystal Palace,Arsenal,A,Selhurst Park,Croydon
8,2015,5,Crystal Palace,Aston Villa,H,Selhurst Park,Croydon
8,2015,5,West Ham,Bournemouth,A,Boleyn Ground,Newham
8,2015,6,Arsenal,Liverpool,D,Emirates Stadium,Islington
8,2015,6,Chelsea,Crystal Palace,A,Stamford Bridge,Hammersmith and Fulham
8,2015,6,Tottenham,Everton,D,White Hart Lane,Haringey
9,2015,6,Arsenal,Stoke,H,Emirates Stadium,Islington
9,2015,6,Crystal Palace,Man City,A,Selhurst Park,Croydon
9,2015,6,West Ham,Newcastle,H,Boleyn Ground,Newham
9,2015,6,Chelsea,Arsenal,H,Stamford Bridge,Hammersmith and Fulham
9,2015,7,Tottenham,Crystal Palace,H,White Hart Lane,Haringey
9,2015,7,Tottenham,Man City,H,White Hart Lane,Haringey
9,2015,7,West Ham,Norwich,D,Boleyn Ground,Newham
10,2015,7,Chelsea,Southampton,A,Stamford Bridge,Hammersmith and Fulham
10,2015,7,Crystal Palace,West Brom,H,Selhurst Park,Croydon
10,2015,7,Arsenal,Man United,H,Emirates Stadium,Islington
10,2015,7,Chelsea,Aston Villa,H,Stamford Bridge,Hammersmith and Fulham
10,2015,7,Crystal Palace,West Ham,A,Selhurst Park,Croydon
10,2015,7,Tottenham,Liverpool,D,White Hart Lane,Haringey
10,2015,8,Arsenal,Everton,H,Emirates Stadium,Islington
10,2015,8,West Ham,Chelsea,H,Boleyn Ground,Newham
10,2015,8,Chelsea,Liverpool,A,Stamford Bridge,Hammersmith and Fulham
10,2015,8,Crystal Palace,Man United,D,Selhurst Park,Croydon
11,2015,8,Tottenham,Aston Villa,H,White Hart Lane,Haringey
11,2015,8,West Ham,Everton,D,Boleyn Ground,Newham
11,2015,8,Arsenal,Tottenham,D,Emirates Stadium,Islington
11,2015,8,Chelsea,Norwich,H,Stamford Bridge,Hammersmith and Fulham
11,2015,9,Tottenham,West Ham,H,White Hart Lane,Haringey
11,2015,9,Crystal Palace,Sunderland,A,Selhurst Park,Croydon
11,2015,9,Crystal Palace,Newcastle,H,Selhurst Park,Croydon
11,2015,9,Tottenham,Chelsea,D,White Hart Lane,Haringey
11,2015,9,West Ham,West Brom,D,Boleyn Ground,Newham
12,2015,9,Arsenal,Sunderland,H,Emirates Stadium,Islington
12,2015,9,Chelsea,Bournemouth,A,Stamford Bridge,Hammersmith and Fulham
12,2015,9,Crystal Palace,Southampton,H,Selhurst Park,Croydon
12,2015,9,West Ham,Stoke,D,Boleyn Ground,Newham
12,2015,10,Tottenham,Newcastle,A,White Hart Lane,Haringey
12,2015,10,Chelsea,Sunderland,H,Stamford Bridge,Hammersmith and Fulham
12,2015,10,Arsenal,Man City,H,Emirates Stadium,Islington
12,2015,10,Chelsea,Watford,D,Stamford Bridge,Hammersmith and Fulham
12,2015,10,Tottenham,Norwich,H,White Hart Lane,Haringey
12,2015,10,Arsenal,Bournemouth,H,Emirates Stadium,Islington
12,2015,10,Crystal Palace,Swansea,D,Selhurst Park,Croydon
12,2015,10,West Ham,Southampton,H,Boleyn Ground,Newham
1,2016,10,Arsenal,Newcastle,H,Emirates Stadium,Islington
1,2016,10,West Ham,Liverpool,H,Boleyn Ground,Newham
1,2016,10,Crystal Palace,Chelsea,A,Selhurst Park,Croydon
1,2016,11,Chelsea,West Brom,D,Stamford Bridge,Hammersmith and Fulham
1,2016,11,Tottenham,Leicester,A,White Hart Lane,Haringey
1,2016,11,Chelsea,Everton,D,Stamford Bridge,Hammersmith and Fulham
1,2016,11,Tottenham,Sunderland,H,White Hart Lane,Haringey
1,2016,11,Crystal Palace,Tottenham,A,Selhurst Park,Croydon
1,2016,11,West Ham,Man City,D,Boleyn Ground,Newham
1,2016,11,Arsenal,Chelsea,A,Emirates Stadium,Islington
2,2016,11,Arsenal,Southampton,D,Emirates Stadium,Islington
2,2016,11,Crystal Palace,Bournemouth,A,Selhurst Park,Croydon
2,2016,11,West Ham,Aston Villa,H,Boleyn Ground,Newham
2,2016,11,Tottenham,Watford,H,White Hart Lane,Haringey
