Month,Year,Period,Home,Away,Result,Stadium,Borough
2,2018,12,Crystal Palace,Tottenham,A,Selhurst Park,Croydon
3,2018,12,Arsenal,Man City,A,Emirates Stadium,Islington
3,2018,12,Tottenham,Huddersfield,H,Wembley Stadium,Brent
3,2018,13,Crystal Palace,Man United,A,Selhurst Park,Croydon
3,2018,13,Chelsea,Crystal Palace,H,Stamford Bridge,Hammersmith and Fulham
3,2018,13,West Ham,Burnley,A,London Stadium,Newham
3,2018,13,Arsenal,Watford,H,Emirates Stadium,Islington
3,2018,13,Crystal Palace,Liverpool,A,Selhurst Park,Croydon
3,2018,13,West Ham,Southampton,H,London Stadium,Newham
4,2018,1,Arsenal,Stoke,H,Emirates Stadium,Islington
4,2018,1,Chelsea,Tottenham,A,Stamford Bridge,Hammersmith and Fulham
4,2018,1,Arsenal,Southampton,H,Emirates Stadium,Islington
4,2018,1,Chelsea,West Ham,D,Stamford Bridge,Hammersmith and Fulham
4,2018,1,Crystal Palace,Brighton,H,Selhurst Park,Croydon
4,2018,1,Tottenham,Man City,A,Wembley Stadium,Brent
4,2018,1,West Ham,Stoke,D,London Stadium,Newham
4,2018,1,Arsenal,West Ham,H,Emirates Stadium,Islington
4,2018,1,Crystal Palace,Leicester,H,Selhurst Park,Croydon
4,2018,1,West Ham,Man City,A,London Stadium,Newham
4,2018,2,Tottenham,Watford,H,Wembley Stadium,Brent
5,2018,2,Arsenal,Burnley,H,Emirates Stadium,Islington
5,2018,2,Chelsea,Liverpool,H,Stamford Bridge,Hammersmith and Fulham
5,2018,2,Chelsea,Huddersfield,D,Stamford Bridge,Hammersmith and Fulham
5,2018,2,Tottenham,Newcastle,H,Wembley Stadium,Brent
5,2018,2,West Ham,Man United,D,London Stadium,Newham
5,2018,2,Crystal Palace,West Brom,H,Selhurst Park,Croydon
5,2018,2,Tottenham,Leicester,H,Wembley Stadium,Brent
5,2018,2,West Ham,Everton,H,London Stadium,Newham
8,2018,5,Fulham,Crystal Palace,A,Craven Cottage,Hammersmith and Fulham
8,2018,5,Arsenal,Man City,A,Emirates Stadium,Islington
8,2018,5,Chelsea,Arsenal,H,Stamford Bridge,Hammersmith and Fulham
8,2018,5,Tottenham,Fulham,H,Wembley Stadium,Brent
8,2018,5,West Ham,Bournemouth,A,London Stadium,Newham
8,2018,6,Crystal Palace,Liverpool,A,Selhurst Park,Croydon
8,2018,6,Arsenal,West Ham,H,Emirates Stadium,Islington
8,2018,6,Fulham,Burnley,H,Craven Cottage,Hammersmith and Fulham
9,2018,6,Chelsea,Bournemouth,H,Stamford Bridge,Hammersmith and Fulham
9,2018,6,Crystal Palace,Southampton,A,Selhurst Park,Croydon
9,2018,6,West Ham,Wolves,A,London Stadium,Newham
9,2018,6,Chelsea,Cardiff,H,Stamford Bridge,Hammersmith and Fulham
9,2018,6,Tottenham,Liverpool,A,Wembley Stadium,Brent
9,2018,7,Crystal Palace,Newcastle,D,Selhurst Park,Croydon
9,2018,7,Fulham,Watford,D,Craven Cottage,Hammersmith and Fulham
9,2018,7,Arsenal,Everton,H,Emirates Stadium,Islington
9,2018,7,West Ham,Chelsea,D,London Stadium,Newham
9,2018,7,Arsenal,Watford,H,Emirates Stadium,Islington
9,2018,7,Chelsea,Liverpool,D,Stamford Bridge,Hammersmith and Fulham
9,2018,7,West Ham,Man United,H,London Stadium,Newham
10,2018,7,Crystal Palace,Wolves,A,Selhurst Park,Croydon
10,2018,7,Tottenham,Cardiff,H,Wembley Stadium,Brent
10,2018,7,Fulham,Arsenal,A,Craven Cottage,Hammersmith and Fulham
10,2018,8,Chelsea,Man United,D,Stamford Bridge,Hammersmith and Fulham
10,2018,8,West Ham,Tottenham,A,London Stadium,Newham
10,2018,8,Arsenal,Leicester,H,Emirates Stadium,Islington
10,2018,8,Fulham,Bournemouth,A,Craven Cottage,Hammersmith and Fulham
10,2018,8,Crystal Palace,Arsenal,D,Selhurst Park,Croydon
10,2018,8,Tottenham,Man City,A,Wembley Stadium,Brent
11,2018,8,Arsenal,Liverpool,D,Emirates Stadium,Islington
11,2018,8,West Ham,Burnley,H,London Stadium,Newham
11,2018,8,Chelsea,Crystal Palace,H,Stamford Bridge,Hammersmith and Fulham
11,2018,8,Crystal Palace,Tottenham,A,Selhurst Park,Croydon
11,2018,9,Arsenal,Wolves,D,Emirates Stadium,Islington
11,2018,9,Chelsea,Everton,D,Stamford Bridge,Hammersmith and Fulham
11,2018,9,Fulham,Southampton,H,Craven Cottage,Hammersmith and Fulham
11,2018,9,Tottenham,Chelsea,H,Wembley Stadium,Brent
11,2018,9,West Ham,Man City,A,London Stadium,Newham
12,2018,9,Crystal Palace,Burnley,H,Selhurst Park,Croydon
12,2018,9,Arsenal,Tottenham,H,Emirates Stadium,Islington
12,2018,9,Chelsea,Fulham,H,Stamford Bridge,Hammersmith and Fulham
12,2018,9,West Ham,Cardiff,H,London Stadium,Newham
12,2018,9,Fulham,Leicester,D,Craven Cottage,Hammersmith and Fulham
12,2018,9,Tottenham,Southampton,H,Wembley Stadium,Brent
12,2018,9,Arsenal,Huddersfield,H,Emirates Stadium,Islington
12,2018,9,Chelsea,Man City,H,Stamford Bridge,Hammersmith and Fulham
12,2018,9,West Ham,Crystal Palace,H,London Stadium,Newham
12,2018,10,Crystal Palace,Leicester,H,Selhurst Park,Croydon
12,2018,10,Fulham,West Ham,A,Craven Cottage,Hammersmith and Fulham
12,2018,10,Tottenham,Burnley,H,Wembley Stadium,Brent
12,2018,10,Arsenal,Burnley,H,Emirates Stadium,Islington
12,2018,10,Chelsea,Leicester,A,Stamford Bridge,Hammersmith and Fulham
12,2018,10,West Ham,Watford,A,London Stadium,Newham
12,2018,10,Crystal Palace,Cardiff,D,Selhurst Park,Croydon
12,2018,10,Fulham,Wolves,D,Craven Cottage,Hammersmith and Fulham
12,2018,10,Tottenham,Bournemouth,H,Wembley Stadium,Brent
12,2018,10,Fulham,Huddersfield,H,Craven Cottage,Hammersmith and Fulham
12,2018,10,Tottenham,Wolves,A,Wembley Stadium,Brent
12,2018,10,Crystal Palace,Chelsea,A,Selhurst Park,Croydon
1,2019,10,Arsenal,Fulham,H,Emirates Stadium,Islington
1,2019,10,Chelsea,Southampton,D,Stamford Bridge,Hammersmith and Fulham
1,2019,10,West Ham,Brighton,D,London Stadium,Newham
1,2019,11,Chelsea,Newcastle,H,Stamford Bridge,Hammersmith and Fulham
1,2019,11,Crystal Palace,Watford,A,Selhurst Park,Croydon
1,2019,11,West Ham,Arsenal,H,London Stadium,Newham
1,2019,11,Tottenham,Man United,A,Wembley Stadium,Brent
1,2019,11,Arsenal,Chelsea,H,Emirates Stadium,Islington
1,2019,11,Fulham,Tottenham,A,Craven Cottage,Hammersmith and Fulham
1,2019,11,Arsenal,Cardiff,H,Emirates Stadium,Islington
1,2019,11,Fulham,Brighton,H,Craven Cottage,Hammersmith and Fulham
1,2019,11,Tottenham,Watford,H,Wembley Stadium,Brent
2,2019,11,Chelsea,Huddersfield,H,Stamford Bridge,Hammersmith and Fulham
2,2019,11,Crystal Palace,Fulham,H,Selhurst Park,Croydon
2,2019,11,Tottenham,Newcastle,H,Wembley Stadium,Brent
2,2019,12,West Ham,Liverpool,D,London Stadium,Newham
2,2019,12,Crystal Palace,West Ham,D,Selhurst Park,Croydon
2,2019,12,Fulham,Man United,A,Craven Cottage,Hammersmith and Fulham
2,2019,12,Tottenham,Leicester,H,Wembley Stadium,Brent
2,2019,12,West Ham,Fulham,H,London Stadium,Newham
2,2019,12,Arsenal,Southampton,H,Emirates Stadium,Islington
2,2019,12,Arsenal,Bournemouth,H,Emirates Stadium,Islington
2,2019,12,Chelsea,Tottenham,H,Stamford Bridge,Hammersmith and Fulham
2,2019,12,Crystal Palace,Man United,A,Selhurst Park,Croydon
3,2019,12,Tottenham,Arsenal,D,Wembley Stadium,Brent
3,2019,12,West Ham,Newcastle,H,London Stadium,Newham
3,2019,13,Fulham,Chelsea,A,Craven Cottage,Hammersmith and Fulham
